subj,loc,canonical_loc,source,source_tag,is_tag,is_universal,is_existing,is_alias,costume
afternoon reader,cozy_living_room,cozy_living_room,universal,,0,1,0,0,cozy_cafe
afternoon reader,fashion_boutique,fashion_boutique,tag:urban,urban,1,0,0,0,cozy_cafe
afternoon reader,illuminated_park,illuminated_park,universal,,0,1,0,0,cozy_cafe
afternoon reader,karaoke_bar,karaoke_bar,tag:urban,urban,1,0,0,0,cozy_cafe
afternoon reader,messy_kitchen,messy_kitchen,universal,,0,1,0,0,cozy_cafe
afternoon reader,museum_hall,museum_hall,universal,,0,1,0,0,cozy_cafe
afternoon reader,neon_city_street,neon_city_street,tag:urban,urban,1,0,0,0,cozy_cafe
afternoon reader,picnic_park,picnic_park,universal,,0,1,0,0,cozy_cafe
afternoon reader,rainy_alley,rainy_alley,tag:urban,urban,1,0,0,0,cozy_cafe
afternoon reader,school_library,school_library,universal,,0,1,0,0,cozy_cafe
afternoon reader,shopping_mall_atrium,shopping_mall_atrium,tag:urban,urban,1,0,0,0,cozy_cafe
afternoon reader,street_cafe,street_cafe,universal,,0,1,0,0,cozy_cafe
afternoon reader,underground_bar,underground_bar,tag:urban,urban,1,0,0,0,cozy_cafe
afternoon reader,winter_street,winter_street,universal,,0,1,0,0,cozy_cafe
airship captain,airship_deck,airship_deck,existing,,0,0,1,0,steampunk
airship captain,alien_planet,alien_planet,tag:scifi,scifi,1,0,0,0,steampunk
airship captain,antique_shop,antique_shop,tag:craft,craft,1,0,0,0,steampunk
airship captain,aquarium,aquarium,universal,,0,1,0,0,steampunk
airship captain,art_gallery,art_gallery,universal,,0,1,0,0,steampunk
airship captain,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,steampunk
airship captain,botanical_garden,botanical_garden,universal,,0,1,0,0,steampunk
airship captain,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,steampunk
airship captain,clockwork_workshop,clockwork_workshop,tag:craft,craft,1,0,0,0,steampunk
airship captain,commuter_transport,commuter_transport,universal,,0,1,0,0,steampunk
airship captain,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,steampunk
airship captain,cozy_living_room,cozy_living_room,universal,,0,1,0,0,steampunk
airship captain,cyber_lab,cyber_lab,tag:scifi,scifi,1,0,0,0,steampunk
airship captain,high_tech_medbay,high_tech_medbay,tag:scifi,scifi,1,0,0,0,steampunk
airship captain,illuminated_park,illuminated_park,universal,,0,1,0,0,steampunk
airship captain,messy_copy_room,messy_copy_room,tag:craft,craft,1,0,0,0,steampunk
airship captain,messy_kitchen,messy_kitchen,universal,,0,1,0,0,steampunk
airship captain,museum_hall,museum_hall,universal,,0,1,0,0,steampunk
airship captain,neon_city_street,neon_city_street,tag:scifi,scifi,1,0,0,0,steampunk
airship captain,picnic_park,picnic_park,universal,,0,1,0,0,steampunk
airship captain,rainy_bus_stop,rainy_alley,universal,,0,1,0,1,steampunk
airship captain,school_library,school_library,universal,,0,1,0,0,steampunk
airship captain,shopping_mall_atrium,shopping_mall_atrium,universal,,0,1,0,0,steampunk
airship captain,spaceship_bridge,spaceship_bridge,tag:scifi,scifi,1,0,0,0,steampunk
airship captain,starship_quarters,starship_quarters,tag:scifi,scifi,1,0,0,0,steampunk
airship captain,street_cafe,street_cafe,universal,,0,1,0,0,steampunk
airship captain,winter_street,winter_street,universal,,0,1,0,0,steampunk
blonde elf archer,alien_planet,alien_planet,tag:fantasy,fantasy,1,0,0,0,fantasy_battle
blonde elf archer,aquarium,aquarium,universal,,0,1,0,0,fantasy_battle
blonde elf archer,art_gallery,art_gallery,universal,,0,1,0,0,fantasy_battle
blonde elf archer,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,fantasy_battle
blonde elf archer,botanical_garden,botanical_garden,universal,,0,1,0,0,fantasy_battle
blonde elf archer,burning_battlefield,burning_battlefield,tag:fantasy,fantasy,1,0,0,0,fantasy_battle
blonde elf archer,castle_hall,castle_hall,tag:fantasy,fantasy,1,0,0,0,fantasy_battle
blonde elf archer,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,fantasy_battle
blonde elf archer,cozy_living_room,cozy_living_room,universal,,0,1,0,0,fantasy_battle
blonde elf archer,dragon_lair,dragon_lair,tag:fantasy,fantasy,1,0,0,0,fantasy_battle
blonde elf archer,dungeon_crypt,dungeon_crypt,tag:fantasy,fantasy,1,0,0,0,fantasy_battle
blonde elf archer,enchanted_lake,enchanted_lake,tag:nature,nature,1,0,0,0,fantasy_battle
blonde elf archer,fantasy_forest,fantasy_forest,existing,,0,0,1,1,fantasy_battle
blonde elf archer,illuminated_park,illuminated_park,universal,,0,1,0,0,fantasy_battle
blonde elf archer,japanese_garden,japanese_garden,tag:nature,nature,1,0,0,0,fantasy_battle
blonde elf archer,magic_academy_library,magic_academy_library,tag:fantasy,fantasy,1,0,0,0,fantasy_battle
blonde elf archer,messy_kitchen,messy_kitchen,universal,,0,1,0,0,fantasy_battle
blonde elf archer,museum_hall,museum_hall,universal,,0,1,0,0,fantasy_battle
blonde elf archer,picnic_park,picnic_park,universal,,0,1,0,0,fantasy_battle
blonde elf archer,rainy_bus_stop,rainy_alley,universal,,0,1,0,1,fantasy_battle
blonde elf archer,school_library,school_library,universal,,0,1,0,0,fantasy_battle
blonde elf archer,shinto_shrine,shinto_shrine,tag:nature,nature,1,0,0,0,fantasy_battle
blonde elf archer,tropical_beach,tropical_beach,tag:nature,nature,1,0,0,0,fantasy_battle
blonde elf archer,wave_barrel,wave_barrel,tag:nature,nature,1,0,0,0,fantasy_battle
blonde elf archer,winter_street,winter_street,universal,,0,1,0,0,fantasy_battle
bookworm girl,antique_shop,antique_shop,existing,,0,0,1,1,school_uniform
bookworm girl,aquarium,aquarium,universal,,0,1,0,0,school_uniform
bookworm girl,art_gallery,art_gallery,universal,,0,1,0,0,school_uniform
bookworm girl,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,school_uniform
bookworm girl,botanical_garden,botanical_garden,universal,,0,1,0,0,school_uniform
bookworm girl,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,school_uniform
bookworm girl,commuter_transport,commuter_transport,universal,,0,1,0,0,school_uniform
bookworm girl,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,school_uniform
bookworm girl,cozy_living_room,cozy_living_room,universal,,0,1,0,0,school_uniform
bookworm girl,illuminated_park,illuminated_park,universal,,0,1,0,0,school_uniform
bookworm girl,messy_kitchen,messy_kitchen,universal,,0,1,0,0,school_uniform
bookworm girl,museum_hall,museum_hall,universal,,0,1,0,0,school_uniform
bookworm girl,picnic_park,picnic_park,universal,,0,1,0,0,school_uniform
bookworm girl,rainy_bus_stop,rainy_alley,universal,,0,1,0,1,school_uniform
bookworm girl,school_classroom,school_classroom,tag:school,school,1,0,0,0,school_uniform
bookworm girl,school_gym_hall,school_gym_hall,tag:school,school,1,0,0,0,school_uniform
bookworm girl,school_library,school_library,tag:school,school,1,0,0,0,school_uniform
bookworm girl,school_rooftop,school_rooftop,tag:school,school,1,0,0,0,school_uniform
bookworm girl,shopping_mall_atrium,shopping_mall_atrium,universal,,0,1,0,0,school_uniform
bookworm girl,street_cafe,street_cafe,universal,,0,1,0,0,school_uniform
bookworm girl,winter_street,winter_street,universal,,0,1,0,0,school_uniform
business girl,aquarium,aquarium,universal,,0,1,0,0,office_lady
business girl,art_gallery,art_gallery,universal,,0,1,0,0,office_lady
business girl,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,office_lady
business girl,boardroom,boardroom,tag:office,office,1,0,0,0,office_lady
business girl,botanical_garden,botanical_garden,universal,,0,1,0,0,office_lady
business girl,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,office_lady
business girl,commuter_transport,commuter_transport,universal,,0,1,0,0,office_lady
business girl,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,office_lady
business girl,cozy_living_room,cozy_living_room,universal,,0,1,0,0,office_lady
business girl,illuminated_park,illuminated_park,universal,,0,1,0,0,office_lady
business girl,messy_copy_room,messy_copy_room,tag:office,office,1,0,0,0,office_lady
business girl,messy_kitchen,messy_kitchen,universal,,0,1,0,0,office_lady
business girl,modern_office,modern_office,existing,,0,0,1,1,office_lady
business girl,museum_hall,museum_hall,universal,,0,1,0,0,office_lady
business girl,office_elevator,office_elevator,tag:office,office,1,0,0,0,office_lady
business girl,picnic_park,picnic_park,universal,,0,1,0,0,office_lady
business girl,rainy_bus_stop,rainy_alley,universal,,0,1,0,1,office_lady
business girl,school_library,school_library,universal,,0,1,0,0,office_lady
business girl,shopping_mall_atrium,shopping_mall_atrium,universal,,0,1,0,0,office_lady
business girl,street_cafe,street_cafe,universal,,0,1,0,0,office_lady
business girl,surveillance_room,surveillance_room,tag:office,office,1,0,0,0,office_lady
business girl,winter_street,winter_street,universal,,0,1,0,0,office_lady
cafe barista,aquarium,aquarium,universal,,0,1,0,0,cozy_cafe
cafe barista,art_gallery,art_gallery,universal,,0,1,0,0,cozy_cafe
cafe barista,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,cozy_cafe
cafe barista,botanical_garden,botanical_garden,universal,,0,1,0,0,cozy_cafe
cafe barista,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,cozy_cafe
cafe barista,commuter_transport,commuter_transport,universal,,0,1,0,0,cozy_cafe
cafe barista,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,cozy_cafe
cafe barista,cozy_living_room,cozy_living_room,universal,,0,1,0,0,cozy_cafe
cafe barista,fashion_boutique,fashion_boutique,tag:urban,urban,1,0,0,0,cozy_cafe
cafe barista,illuminated_park,illuminated_park,universal,,0,1,0,0,cozy_cafe
cafe barista,karaoke_bar,karaoke_bar,tag:urban,urban,1,0,0,0,cozy_cafe
cafe barista,messy_kitchen,messy_kitchen,universal,,0,1,0,0,cozy_cafe
cafe barista,museum_hall,museum_hall,universal,,0,1,0,0,cozy_cafe
cafe barista,neon_city_street,neon_city_street,tag:urban,urban,1,0,0,0,cozy_cafe
cafe barista,picnic_park,picnic_park,universal,,0,1,0,0,cozy_cafe
cafe barista,rainy_alley,rainy_alley,tag:urban,urban,1,0,0,0,cozy_cafe
cafe barista,school_library,school_library,universal,,0,1,0,0,cozy_cafe
cafe barista,shopping_mall_atrium,shopping_mall_atrium,tag:urban,urban,1,0,0,0,cozy_cafe
cafe barista,street_cafe,street_cafe,existing,,0,0,1,1,cozy_cafe
cafe barista,underground_bar,underground_bar,tag:urban,urban,1,0,0,0,cozy_cafe
cafe barista,winter_street,winter_street,universal,,0,1,0,0,cozy_cafe
cafe customer,aquarium,aquarium,universal,,0,1,0,0,cozy_cafe
cafe customer,art_gallery,art_gallery,universal,,0,1,0,0,cozy_cafe
cafe customer,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,cozy_cafe
cafe customer,botanical_garden,botanical_garden,universal,,0,1,0,0,cozy_cafe
cafe customer,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,cozy_cafe
cafe customer,commuter_transport,commuter_transport,universal,,0,1,0,0,cozy_cafe
cafe customer,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,cozy_cafe
cafe customer,cozy_living_room,cozy_living_room,universal,,0,1,0,0,cozy_cafe
cafe customer,fashion_boutique,fashion_boutique,tag:urban,urban,1,0,0,0,cozy_cafe
cafe customer,illuminated_park,illuminated_park,universal,,0,1,0,0,cozy_cafe
cafe customer,karaoke_bar,karaoke_bar,tag:urban,urban,1,0,0,0,cozy_cafe
cafe customer,messy_kitchen,messy_kitchen,universal,,0,1,0,0,cozy_cafe
cafe customer,museum_hall,museum_hall,universal,,0,1,0,0,cozy_cafe
cafe customer,neon_city_street,neon_city_street,tag:urban,urban,1,0,0,0,cozy_cafe
cafe customer,picnic_park,picnic_park,universal,,0,1,0,0,cozy_cafe
cafe customer,rainy_alley,rainy_alley,tag:urban,urban,1,0,0,0,cozy_cafe
cafe customer,school_library,school_library,universal,,0,1,0,0,cozy_cafe
cafe customer,shopping_mall_atrium,shopping_mall_atrium,tag:urban,urban,1,0,0,0,cozy_cafe
cafe customer,street_cafe,street_cafe,existing,,0,0,1,1,cozy_cafe
cafe customer,underground_bar,underground_bar,tag:urban,urban,1,0,0,0,cozy_cafe
cafe customer,winter_street,winter_street,universal,,0,1,0,0,cozy_cafe
chef girl,aquarium,aquarium,universal,,0,1,0,0,rainy_day
chef girl,art_gallery,art_gallery,universal,,0,1,0,0,rainy_day
chef girl,bedroom_boudoir,bedroom_boudoir,tag:domestic,domestic,1,0,0,0,rainy_day
chef girl,botanical_garden,botanical_garden,universal,,0,1,0,0,rainy_day
chef girl,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,rainy_day
chef girl,commuter_transport,commuter_transport,universal,,0,1,0,0,rainy_day
chef girl,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,rainy_day
chef girl,cozy_living_room,cozy_living_room,universal,,0,1,0,0,rainy_day
chef girl,fashion_boutique,fashion_boutique,tag:urban,urban,1,0,0,0,rainy_day
chef girl,illuminated_park,illuminated_park,universal,,0,1,0,0,rainy_day
chef girl,karaoke_bar,karaoke_bar,tag:urban,urban,1,0,0,0,rainy_day
chef girl,messy_kitchen,messy_kitchen,existing,,0,0,1,1,rainy_day
chef girl,museum_hall,museum_hall,universal,,0,1,0,0,rainy_day
chef girl,neon_city_street,neon_city_street,tag:urban,urban,1,0,0,0,rainy_day
chef girl,picnic_park,picnic_park,universal,,0,1,0,0,rainy_day
chef girl,rainy_alley,rainy_alley,tag:urban,urban,1,0,0,0,rainy_day
chef girl,school_library,school_library,universal,,0,1,0,0,rainy_day
chef girl,shopping_mall_atrium,shopping_mall_atrium,tag:urban,urban,1,0,0,0,rainy_day
chef girl,street_cafe,street_cafe,universal,,0,1,0,0,rainy_day
chef girl,underground_bar,underground_bar,tag:urban,urban,1,0,0,0,rainy_day
chef girl,winter_street,winter_street,universal,,0,1,0,0,rainy_day
clockwork artisan,steampunk_airship,airship_deck,tag:steampunk,steampunk,1,0,0,1,steampunk
clockwork artisan,antique_shop,antique_shop,tag:craft,craft,1,0,0,0,steampunk
clockwork artisan,aquarium,aquarium,universal,,0,1,0,0,steampunk
clockwork artisan,art_gallery,art_gallery,universal,,0,1,0,0,steampunk
clockwork artisan,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,steampunk
clockwork artisan,botanical_garden,botanical_garden,universal,,0,1,0,0,steampunk
clockwork artisan,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,steampunk
clockwork artisan,clockwork_workshop,clockwork_workshop,existing,,0,0,1,1,steampunk
clockwork artisan,commuter_transport,commuter_transport,universal,,0,1,0,0,steampunk
clockwork artisan,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,steampunk
clockwork artisan,cozy_living_room,cozy_living_room,universal,,0,1,0,0,steampunk
clockwork artisan,illuminated_park,illuminated_park,universal,,0,1,0,0,steampunk
clockwork artisan,messy_copy_room,messy_copy_room,tag:craft,craft,1,0,0,0,steampunk
clockwork artisan,messy_kitchen,messy_kitchen,universal,,0,1,0,0,steampunk
clockwork artisan,museum_hall,museum_hall,universal,,0,1,0,0,steampunk
clockwork artisan,picnic_park,picnic_park,universal,,0,1,0,0,steampunk
clockwork artisan,rainy_bus_stop,rainy_alley,universal,,0,1,0,1,steampunk
clockwork artisan,school_library,school_library,universal,,0,1,0,0,steampunk
clockwork artisan,shopping_mall_atrium,shopping_mall_atrium,universal,,0,1,0,0,steampunk
clockwork artisan,street_cafe,street_cafe,universal,,0,1,0,0,steampunk
clockwork artisan,winter_street,winter_street,universal,,0,1,0,0,steampunk
cyberpunk girl,airship_deck,airship_deck,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk girl,alien_planet,alien_planet,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk girl,aquarium,aquarium,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,art_gallery,art_gallery,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,commuter_transport,commuter_transport,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,cozy_living_room,cozy_living_room,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,cyber_lab,cyber_lab,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk girl,fashion_boutique,fashion_boutique,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk girl,high_tech_medbay,high_tech_medbay,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk girl,illuminated_park,illuminated_park,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,karaoke_bar,karaoke_bar,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk girl,messy_kitchen,messy_kitchen,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,museum_hall,museum_hall,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,neon_city_street,neon_city_street,existing,,0,0,1,1,cyberpunk_night
cyberpunk girl,rainy_alley,rainy_alley,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk girl,school_library,school_library,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,shopping_mall_atrium,shopping_mall_atrium,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk girl,spaceship_bridge,spaceship_bridge,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk girl,starship_quarters,starship_quarters,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk girl,street_cafe,street_cafe,universal,,0,1,0,0,cyberpunk_night
cyberpunk girl,underground_bar,underground_bar,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk girl,winter_street,winter_street,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,airship_deck,airship_deck,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk hacker,alien_planet,alien_planet,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk hacker,aquarium,aquarium,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,art_gallery,art_gallery,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,commuter_transport,commuter_transport,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,cozy_living_room,cozy_living_room,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,cyber_lab,cyber_lab,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk hacker,fashion_boutique,fashion_boutique,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk hacker,high_tech_medbay,high_tech_medbay,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk hacker,illuminated_park,illuminated_park,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,karaoke_bar,karaoke_bar,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk hacker,messy_kitchen,messy_kitchen,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,museum_hall,museum_hall,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,neon_city_street,neon_city_street,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk hacker,rainy_alley,rainy_alley,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk hacker,school_library,school_library,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,shopping_mall_atrium,shopping_mall_atrium,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk hacker,spaceship_bridge,spaceship_bridge,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk hacker,starship_quarters,starship_quarters,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk hacker,street_cafe,street_cafe,universal,,0,1,0,0,cyberpunk_night
cyberpunk hacker,surveillance_room,surveillance_room,existing,,0,0,1,1,cyberpunk_night
cyberpunk hacker,underground_bar,underground_bar,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk hacker,winter_street,winter_street,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,airship_deck,airship_deck,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk mercenary,alien_planet,alien_planet,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk mercenary,aquarium,aquarium,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,art_gallery,art_gallery,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,commuter_transport,commuter_transport,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,cozy_living_room,cozy_living_room,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,cyber_lab,cyber_lab,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk mercenary,fashion_boutique,fashion_boutique,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk mercenary,high_tech_medbay,high_tech_medbay,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk mercenary,illuminated_park,illuminated_park,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,karaoke_bar,karaoke_bar,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk mercenary,messy_kitchen,messy_kitchen,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,museum_hall,museum_hall,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,neon_city_street,neon_city_street,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk mercenary,rainy_alley,rainy_alley,existing,,0,0,1,1,cyberpunk_night
cyberpunk mercenary,school_library,school_library,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,shopping_mall_atrium,shopping_mall_atrium,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk mercenary,spaceship_bridge,spaceship_bridge,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk mercenary,starship_quarters,starship_quarters,tag:scifi,scifi,1,0,0,0,cyberpunk_night
cyberpunk mercenary,street_cafe,street_cafe,universal,,0,1,0,0,cyberpunk_night
cyberpunk mercenary,underground_bar,underground_bar,tag:urban,urban,1,0,0,0,cyberpunk_night
cyberpunk mercenary,winter_street,winter_street,universal,,0,1,0,0,cyberpunk_night
detective,aquarium,aquarium,universal,,0,1,0,0,secret_agent
detective,art_gallery,art_gallery,universal,,0,1,0,0,secret_agent
detective,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,secret_agent
detective,boardroom,boardroom,tag:office,office,1,0,0,0,secret_agent
detective,botanical_garden,botanical_garden,universal,,0,1,0,0,secret_agent
detective,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,secret_agent
detective,commuter_transport,commuter_transport,universal,,0,1,0,0,secret_agent
detective,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,secret_agent
detective,cozy_living_room,cozy_living_room,universal,,0,1,0,0,secret_agent
detective,fashion_boutique,fashion_boutique,tag:urban,urban,1,0,0,0,secret_agent
detective,illuminated_park,illuminated_park,universal,,0,1,0,0,secret_agent
detective,karaoke_bar,karaoke_bar,tag:urban,urban,1,0,0,0,secret_agent
detective,messy_copy_room,messy_copy_room,tag:office,office,1,0,0,0,secret_agent
detective,messy_kitchen,messy_kitchen,universal,,0,1,0,0,secret_agent
detective,modern_office,modern_office,tag:office,office,1,0,0,0,secret_agent
detective,museum_hall,museum_hall,universal,,0,1,0,0,secret_agent
detective,neon_city_street,neon_city_street,tag:urban,urban,1,0,0,0,secret_agent
detective,office_elevator,office_elevator,tag:office,office,1,0,0,0,secret_agent
detective,picnic_park,picnic_park,universal,,0,1,0,0,secret_agent
detective,rainy_alley,rainy_alley,existing,,0,0,1,1,secret_agent
detective,school_library,school_library,universal,,0,1,0,0,secret_agent
detective,shopping_mall_atrium,shopping_mall_atrium,tag:urban,urban,1,0,0,0,secret_agent
detective,street_cafe,street_cafe,universal,,0,1,0,0,secret_agent
detective,surveillance_room,surveillance_room,tag:office,office,1,0,0,0,secret_agent
detective,underground_bar,underground_bar,tag:urban,urban,1,0,0,0,secret_agent
detective,winter_street,winter_street,universal,,0,1,0,0,secret_agent
doll-like girl,alien_planet,alien_planet,tag:fantasy,fantasy,1,0,0,0,gothic_lolita
doll-like girl,aquarium,aquarium,universal,,0,1,0,0,gothic_lolita
doll-like girl,art_gallery,art_gallery,universal,,0,1,0,0,gothic_lolita
doll-like girl,bedroom_boudoir,bedroom_boudoir,existing,,0,0,1,1,gothic_lolita
doll-like girl,botanical_garden,botanical_garden,universal,,0,1,0,0,gothic_lolita
doll-like girl,burning_battlefield,burning_battlefield,tag:fantasy,fantasy,1,0,0,0,gothic_lolita
doll-like girl,castle_hall,castle_hall,tag:fantasy,fantasy,1,0,0,0,gothic_lolita
